Niño,Grupo,Edad,Emparejamiento_emocion_RC,Emparejamiento_emocion_TR,Memoria_emocion_RC,Memoria_emocion_TR,Emparejamiento_identidad_RC,Emparejamiento_identidad_TR,Memoria_identidad_RC,Memoria_identidad_TR,emocion emp,emocion mem,pre/post,Tipo emp emoción,Omisión emp emoción,Comisión emp emoción,Tipo mem emoción,Omisión mem emoción,Comisión mem emoción,Tipo emp identidad,Omisión emp identidad,Comisión emp identidad,Tipo mem identidad,Omisión mem identidad,Comisión mem identidad
SPM8M,Grupo emoción,8,1,3.451077531,0,,1,2.034007309,1,0.924572049,Tristeza,Tristeza,Pre,Acierto,0,0,Omisión,100,0,Acierto,0,0,Acierto,0,0
SPM8M,Grupo emoción,8,1,2.478258173,0,,1,1.792829629,1,1.116324346,Tristeza,Enojo,Pre,Acierto,0,0,Omisión,100,0,Acierto,0,0,Acierto,0,0
SPM8M,Grupo emoción,8,1,3.071007605,0,,1,2.295776395,0,,Alegría,Alegría,Pre,Acierto,0,0,Omisión,100,0,Acierto,0,0,Omisión,100,0
SPM8M,Grupo emoción,8,0,,0,,1,1.803176296,1,1.772771161,Enojo,Tristeza,Pre,Omisión,100,0,Omisión,100,0,Acierto,0,0,Acierto,0,0
SPM8M,Grupo emoción,8,1,2.790590815,1,0.90777758,1,2.033761975,1,1.248121284,Alegría,Tristeza,Pre,Acierto,0,0,Acierto,0,0,Acierto,0,0,Acierto,0,0
SPM8M,Grupo emoción,8,0,,0,,0,2.859051852,0,1.099541728,Tristeza,Enojo,Pre,Omisión,100,0,Omisión,100,0,Comisión,0,100,Comisión,0,100
SPM8M,Grupo emoción,8,1,2.812868346,0,1.595568593,1,1.560932741,1,1.391372642,Alegría,Tristeza,Pre,Acierto,0,0,Comisión,0,100,Acierto,0,0,Acierto,0,0
SPM8M,Grupo emoción,8,1,2.535340247,0,,1,2.512042667,1,0.949398123,Tristeza,Enojo,Pre,Acierto,0,0,Omisión,100,0,Acierto,0,0,Acierto,0,0
SPM8M,Grupo emoción,8,1,1.507853037,0,1.900804741,1,3.507518025,1,1.179028543,Enojo,Alegría,Pre,Acierto,0,0,Comisión,0,100,Acierto,0,0,Acierto,0,0
SGM8M,Grupo identidad,8,1,2.5991055,0,,1,2.605965755,1,1.229757902,Tristeza,Alegría,Pre,Acierto,0,0,Omisión,100,0,Acierto,0,0,Acierto,0,0
SGM8M,Grupo identidad,8,1,1.881937638,1,1.412940736,1,2.218187715,1,0.707065727,Alegría,Tristeza,Pre,Acierto,0,0,Acierto,0,0,Acierto,0,0,Acierto,0,0
SGM8M,Grupo identidad,8,1,2.665869036,1,1.151081661,1,2.405553073,1,0.802478778,Alegría,Alegría,Pre,Acierto,0,0,Acierto,0,0,Acierto,0,0,Acierto,0,0
SGM8M,Grupo identidad,8,1,2.911478809,1,1.736027737,1,2.321122356,1,1.3160063,Tristeza,Tristeza,Pre,Acierto,0,0,Acierto,0,0,Acierto,0,0,Acierto,0,0
SGM8M,Grupo identidad,8,0,2.367750362,0,,1,2.261062235,0,,Enojo,Enojo,Pre,Comisión,0,100,Omisión,100,0,Acierto,0,0,Omisión,100,0
SGM8M,Grupo identidad,8,0,2.547630476,1,1.68837731,1,2.701110954,1,1.12150928,Enojo,Tristeza,Pre,Comisión,0,100,Acierto,0,0,Acierto,0,0,Acierto,0,0
