código,grupo,condición,evaluación,ms,µV,electrodo
LMR11M,1,Identidad,POST,502,22.28,P3
LMR11M,1,Sexo,POST,618,17.86,P3
LMR11M,1,Tristeza,POST,564,9.91,P3
LMR11M,1,Alegría,PRE,472,21.08,P3
LMR11M,1,Enojo,PRE,490,19.64,P3
LMR11M,1,Identidad,PRE,538,24.21,P3
LMR11M,1,Sexo,PRE,558,21.85,P3
LMR11M,1,Tristeza,PRE,564,23.36,P3
CVO8M,2,Sexo,PRE,240,-8.36,T5
MCJ8M,1,Alegría,PRE,234,-8.43,T5
TOM8M,1,Identidad,PRE,240,-8.46,T5
MZH9M,2,Tristeza,PRE,224,-8.58,T5
MBO9M,2,Enojo,PRE,226,-8.65,T5
DRL8M,1,Enojo,PRE,244,-8.69,T5
DSB10M,2,Alegría,POST,220,-8.77,T5
AMA8M,2,Alegría,POST,242,-8.95,T5
NRG10M,1,Identidad,POST,226,-8.98,T5
EDC10M,1,Tristeza,POST,236,-9.07,T5
LMR11M,1,Alegría,POST,214,-18.56,T6
LMR11M,1,Enojo,POST,214,-19.62,T6
LMR11M,1,Identidad,POST,218,-27.04,T6
LMR11M,1,Sexo,POST,216,-28.15,T6
LMR11M,1,Tristeza,POST,214,-30.14,T6
LMR11M,1,Alegría,PRE,218,-19.1,T6
LMR11M,1,Enojo,PRE,218,-21.49,T6
LMR11M,1,Identidad,PRE,216,-21.66,T6
LMR11M,1,Sexo,PRE,212,-18.1,T6
LMR11M,1,Tristeza,PRE,218,-17.03,T6
MBO9M,2,Alegría,POST,610,16.48,P3
MBO9M,2,Enojo,POST,620,22.88,P3
MBO9M,2,Identidad,POST,566,8.85,P3
MBO9M,2,Sexo,POST,614,4.02,P3
MBO9M,2,Tristeza,POST,624,7.23,P3
MBO9M,2,Alegría,PRE,600,25.52,P3
MBO9M,2,Enojo,PRE,622,19.35,P3
MBO9M,2,Identidad,PRE,536,11.68,P3
MBO9M,2,Sexo,PRE,646,2.01,P3
MBO9M,2,Tristeza,PRE,618,17.27,P3
SFN10M,2,Tristeza,PRE,232,-9.16,T5
SFN10M,2,Sexo,PRE,228,-9.3,T5
MBO9M,2,Identidad,PRE,236,-9.41,T5
NRG10M,1,Enojo,POST,224,-9.65,T5
SFN10M,2,Identidad,PRE,248,-9.75,T5
SFN10M,2,Enojo,POST,238,-9.8,T5
DRL8M,1,Enojo,POST,254,-9.82,T5
SPM8M,1,Sexo,PRE,230,-9.83,T5
SGM8M,2,Enojo,POST,226,-9.84,T5
ALJ10M,1,Alegría,PRE,226,-9.87,T5
MBO9M,2,Alegría,POST,238,-4.16,T6
MBO9M,2,Enojo,POST,234,-7.1,T6
MBO9M,2,Identidad,POST,232,-11.15,T6
MBO9M,2,Sexo,POST,232,-5.33,T6
MBO9M,2,Tristeza,POST,232,-8.11,T6
MBO9M,2,Alegría,PRE,228,-11.37,T6
MBO9M,2,Enojo,PRE,264,-8.51,T6
MBO9M,2,Identidad,PRE,234,-15.94,T6
MBO9M,2,Sexo,PRE,242,-8.13715789,T6
MBO9M,2,Tristeza,PRE,236,-2.89,T6
MCJ8M,1,Alegría,POST,634,-1.21,P3
MCJ8M,1,Enojo,POST,646,-2.01,P3
MCJ8M,1,Identidad,POST,484,-2,P3
MCJ8M,1,Sexo,POST,516,-0.41,P3
MCJ8M,1,Tristeza,POST,632,0,P3
MCJ8M,1,Alegría,PRE,598,-4.71,P3
MCJ8M,1,Enojo,PRE,654,4.14,P3
MCJ8M,1,Identidad,PRE,512,5.97,P3
MCJ8M,1,Sexo,PRE,494,3.21,P3
MCJ8M,1,Tristeza,PRE,658,7.28,P3
JSR9M,2,Enojo,POST,228,-9.94,T5
DSB10M,2,Tristeza,PRE,234,-10.03,T5
DRL8M,1,Sexo,PRE,258,-10.09,T5
DSO8M,2,Enojo,POST,238,-10.1,T5
NRG10M,1,Identidad,PRE,234,-10.13,T5
SFN10M,2,Enojo,PRE,228,-10.13,T5
DRL8M,1,Identidad,PRE,260,-10.27,T5
