Grupo,pre/post,tipo,Imagen,emocion,resultado,resultados,%
Grupo emoción,Post,emp,21,Tristeza,Comisión,4,0.26666666666666666
Grupo emoción,Post,emp,21,Tristeza,Omisión,1,0.06666666666666667
Grupo emoción,Post,emp,22,Tristeza,Acierto,5,0.3333333333333333
Grupo emoción,Post,emp,22,Tristeza,Comisión,6,0.4
Grupo emoción,Post,emp,22,Tristeza,Omisión,4,0.26666666666666666
Grupo emoción,Post,emp,23,Tristeza,Acierto,13,0.8666666666666667
Grupo emoción,Post,emp,23,Tristeza,Comisión,1,0.06666666666666667
Grupo emoción,Post,emp,23,Tristeza,Omisión,1,0.06666666666666667
Grupo emoción,Post,emp,24,Alegría,Acierto,9,0.6
Grupo emoción,Post,emp,24,Alegría,Comisión,6,0.4
Grupo emoción,Post,emp,25,Enojo,Acierto,3,0.2
Grupo emoción,Post,emp,25,Enojo,Comisión,6,0.4
Grupo emoción,Post,emp,25,Enojo,Omisión,6,0.4
Grupo emoción,Post,emp,26,Alegría,Acierto,9,0.6
Grupo emoción,Post,emp,26,Alegría,Comisión,3,0.2
Grupo emoción,Post,emp,26,Alegría,Omisión,3,0.2
Grupo emoción,Post,emp,27,Tristeza,Acierto,10,0.6666666666666666
Grupo emoción,Post,emp,27,Tristeza,Comisión,2,0.13333333333333333
Grupo emoción,Post,emp,27,Tristeza,Omisión,3,0.2
Grupo emoción,Post,emp,28,Alegría,Acierto,12,0.8
Grupo emoción,Post,emp,28,Alegría,Comisión,3,0.2
Grupo emoción,Post,emp,29,Tristeza,Acierto,12,0.8
Grupo emoción,Post,emp,29,Tristeza,Omisión,3,0.2
Grupo emoción,Post,emp,30,Enojo,Acierto,15,1
Grupo emoción,Post,mem,1,Alegría,Acierto,8,0.5333333333333333
Grupo emoción,Post,mem,1,Alegría,Comisión,1,0.06666666666666667
Grupo emoción,Post,mem,1,Alegría,Omisión,6,0.4
Grupo emoción,Post,mem,2,Tristeza,Acierto,14,0.9333333333333333
Grupo emoción,Post,mem,2,Tristeza,Comisión,1,0.06666666666666667
Grupo emoción,Post,mem,3,Alegría,Acierto,14,0.9333333333333333
Grupo emoción,Post,mem,3,Alegría,Comisión,1,0.06666666666666667
Grupo emoción,Post,mem,4,Tristeza,Acierto,13,0.8666666666666667
Grupo emoción,Post,mem,4,Tristeza,Comisión,1,0.06666666666666667
Grupo emoción,Post,mem,4,Tristeza,Omisión,1,0.06666666666666667
Grupo emoción,Post,mem,5,Enojo,Acierto,11,0.7333333333333333
Grupo emoción,Post,mem,5,Enojo,Omisión,4,0.26666666666666666
Grupo emoción,Post,mem,6,Tristeza,Acierto,5,0.3333333333333333
Grupo emoción,Post,mem,6,Tristeza,Comisión,3,0.2
Grupo emoción,Post,mem,6,Tristeza,Omisión,7,0.4666666666666667
Grupo emoción,Post,mem,7,Alegría,Acierto,13,0.8666666666666667
Grupo emoción,Post,mem,7,Alegría,Omisión,2,0.13333333333333333
Grupo emoción,Post,mem,8,Enojo,Acierto,9,0.6
Grupo emoción,Post,mem,8,Enojo,Comisión,2,0.13333333333333333
Grupo emoción,Post,mem,8,Enojo,Omisión,4,0.26666666666666666
Grupo emoción,Post,mem,9,Alegría,Acierto,15,1
Grupo emoción,Post,mem,10,Tristeza,Acierto,5,0.3333333333333333
Grupo emoción,Post,mem,10,Tristeza,Comisión,4,0.26666666666666666
Grupo emoción,Post,mem,10,Tristeza,Omisión,6,0.4
Grupo emoción,Post,mem,11,Alegría,Acierto,13,0.8666666666666667
Grupo emoción,Post,mem,11,Alegría,Comisión,2,0.13333333333333333
Grupo emoción,Post,mem,12,Alegría,Acierto,15,1
