,Variables,Corr,P_val
213,SSIS.Comp.1-RC.mem.E.1,-0.038542336,0.767693283
214,SSIS.Comp.1-TR.mem.E.1,-0.539494137,0.432631633
215,SSIS.Comp.1-EO.mem.E.1,-0.244297622,0.939395443
216,SSIS.Comp.1-EC.mem.E.1,0.330218966,0.647559479
217,SSIS.Comp.1-RC.emp.ID.1,0.156455779,0.436836445
218,SSIS.Comp.1-TR.emp.ID.1,0.09582306,0.730710664
219,SSIS.Comp.1-EO.emp.ID.1,0.082799255,0.897770937
220,SSIS.Comp.1-EC.emp.ID.1,-0.167718423,0.426658958
221,SSIS.Comp.1-RC.mem.ID.1,0.173474632,0.70527077
222,SSIS.Comp.1-TR.mem.ID.1,-0.003406202,0.817466266
223,SSIS.Comp.1-EO.mem.ID.1,-0.365355724,0.506786433
224,SSIS.Comp.1-EC.mem.ID.1,-0.316138609,0.548547892
225,SSIS.AC.1-RC.emp.A.1,-0.302048196,0.240643276
226,SSIS.AC.1-TR.emp.A.1,-0.155410826,0.907802216
227,SSIS.AC.1-EO.emp.A.1,0.019224056,0.559888321
228,SSIS.AC.1-EC.emp.A.1,0.434935526,0.396792606
229,SSIS.AC.1-RC.emp.T.1,0.354516637,0.622638489
230,SSIS.AC.1-TR.emp.T.1,-0.110560603,0.645736897
231,SSIS.AC.1-EO.emp.T.1,-0.668629472,0.122885792
232,SSIS.AC.1-EC.emp.T.1,0.126466489,0.128901672
233,SSIS.AC.1-RC.emp.E.1,-0.233079291,0.840500497
234,SSIS.AC.1-TR.emp.E.1,-0.061595895,0.632711906
235,SSIS.AC.1-EO.emp.E.1,-0.223253015,0.215729863
236,SSIS.AC.1-EC.emp.E.1,0.3077739,0.474085923
237,SSIS.AC.1-RC.mem.A.1,0.237983852,0.337964333
238,SSIS.AC.1-TR.mem.A.1,-0.236830136,0.955650398
239,SSIS.AC.1-EO.mem.A.1,0.270252849,0.713910487
240,SSIS.AC.1-EC.mem.A.1,-0.557798857,0.527210934
241,SSIS.AC.1-RC.mem.T.1,0.632484453,0.326939949
242,SSIS.AC.1-TR.mem.T.1,-0.146554891,0.72096168
243,SSIS.AC.1-EO.mem.T.1,-0.173347591,0.414957333
244,SSIS.AC.1-EC.mem.T.1,-0.32336595,0.971795677
245,SSIS.AC.1-RC.mem.E.1,0.112611167,0.767693283
246,SSIS.AC.1-TR.mem.E.1,-0.094605778,0.432631633
247,SSIS.AC.1-EO.mem.E.1,-0.283065792,0.939395443
248,SSIS.AC.1-EC.mem.E.1,0.186879182,0.647559479
249,SSIS.AC.1-RC.emp.ID.1,0.61733436,0.436836445
250,SSIS.AC.1-TR.emp.ID.1,0.156466374,0.730710664
251,SSIS.AC.1-EO.emp.ID.1,0.192745472,0.897770937
252,SSIS.AC.1-EC.emp.ID.1,-0.660728926,0.426658958
253,SSIS.AC.1-RC.mem.ID.1,0.002912216,0.70527077
254,SSIS.AC.1-TR.mem.ID.1,0.077436644,0.817466266
255,SSIS.AC.1-EO.mem.ID.1,-0.03958442,0.506786433
256,SSIS.AC.1-EC.mem.ID.1,-0.307718133,0.548547892
257,SSIS.PC.1-RC.emp.A.1,0.167624792,0.240643276
258,SSIS.PC.1-TR.emp.A.1,0.011663964,0.907802216
259,SSIS.PC.1-EO.emp.A.1,0.001844944,0.559888321
260,SSIS.PC.1-EC.emp.A.1,-0.26112407,0.396792606
261,SSIS.PC.1-RC.emp.T.1,-0.162910961,0.622638489
262,SSIS.PC.1-TR.emp.T.1,-0.091619388,0.645736897
263,SSIS.PC.1-EO.emp.T.1,0.222959286,0.122885792
264,SSIS.PC.1-EC.emp.T.1,-0.00110337,0.128901672
265,SSIS.PC.1-RC.emp.E.1,0.238600094,0.840500497
266,SSIS.PC.1-TR.emp.E.1,-0.296843932,0.632711906
267,SSIS.PC.1-EO.emp.E.1,-0.076880544,0.215729863
268,SSIS.PC.1-EC.emp.E.1,-0.180010003,0.474085923
269,SSIS.PC.1-RC.mem.A.1,0.31084882,0.337964333
270,SSIS.PC.1-TR.mem.A.1,0.131010031,0.955650398
271,SSIS.PC.1-EO.mem.A.1,-0.455627723,0.713910487
272,SSIS.PC.1-EC.mem.A.1,0.158897431,0.527210934
273,SSIS.PC.1-RC.mem.T.1,-0.359703176,0.326939949
274,SSIS.PC.1-TR.mem.T.1,0.047900951,0.72096168
275,SSIS.PC.1-EO.mem.T.1,0.202782666,0.414957333
276,SSIS.PC.1-EC.mem.T.1,0.082610632,0.971795677
277,SSIS.PC.1-RC.mem.E.1,-0.309410743,0.767693283
278,SSIS.PC.1-TR.mem.E.1,0.036106344,0.432631633
279,SSIS.PC.1-EO.mem.E.1,0.419563673,0.939395443
280,SSIS.PC.1-EC.mem.E.1,-0.099638371,0.647559479
281,SSIS.PC.1-RC.emp.ID.1,-0.52331724,0.436836445
